parent,nom,lien,type,descriptionFr,sourceDescriptionFr,lienDescriptionFr,descriptionEn,sourceDescriptionEn,lienDescriptionEn,prix,licence,plateformes,SimilaireA,BaséEn
Planifier,Etar,https://github.com/Etar-Group/Etar-Calendar,outil,calendrier smartphone,,,,,,Gratuit,Libre,Android,Google Agenda,
Planifier,Framaform,https://framaforms.org/,outil,,,,,,,Gratuit,,,,
Planifier,Simple Calendar Pro,https://github.com/SimpleMobileTools/Simple-Calendar,outil,calendrier smartphone,,,,,,Gratuit,Libre,Android,Google Agenda,
Planifier,Open Tasks,https://opentasks.app/,outil,task manager et todo list,,,,,,Gratuit,Libre,Android,Google Tasks,
Planifier,Orgzly,www.orgzly.com,outil,task manager et todo list,,,,,,Gratuit,Libre,Android,Google Tasks,
Planifier,My Life Capsule,https://mylifecapsule.com/,outil,Gestion de l'organisation personnelle et familiale,,,,,,,,,,
Vivre au quotidien,Se déplacer,,titre,,,,,,,,,,,
Se déplacer,OsmAnd,https://osmand.net/,outil,Appli de maps basé sur OSM,,,,,,Gratuit,Libre,Android,Google Maps,
Se déplacer,Qwant Maps,https://www.qwant.com/maps,outil,,,,,,,Gratuit,Propriétaire,Navigateur,Google Maps,
Se déplacer,Organic Maps,https://organicmaps.app/,outil,,,,,,,Gratuit,Libre,Android,Google Maps,
Vivre au quotidien,Se divertir,,titre,,,,,,,,,,,
Se divertir,NewPipe,https://newpipe.net/,outil,"Client Youtube, Soundcloud etc",,,,,,Gratuit,Libre,Android,Youtube,
Outils et pratiques Privacy par LINC,Autre,,titre,,,,,,,,,,,
Autre,Services chapril,https://www.chapril.org/-services-.html,outil,,,,,,,,,,,
Autre,NVDA,https://www.nvaccess.org/download/,outil,Lecteur d'écran Libre,,,,,,,,,,
Autre,Riseup VPN,https://f-droid.org/en/packages/se.leap.riseupvpn/,outil,,,,,,,,,,,
Autre,Orbot,https://play.google.com/store/apps/details?id=org.torproject.android&hl=fr&gl=FR,outil,Permet à d'autres applis d'utiliser Internet par Tor ?,,,,,,,,,,
Autre,Greenshot,https://getgreenshot.org/,outil,"Outil de capture d'écran avec sélection de format, modifications, annotations et export variés",,,,,,"Gratuit, Libre, Windows",,,,
Autre,Services variés des chatons,https://entraide.chatons.org/fr/,outil,,,,,,,,,,,
Autre,Décocher la personnalisation publicitaire ou de contenu dans les paramètres des applications,,pratique,,,,,,,,,,,
Autre,Bien fermer les applications après utilisation sur smartphone,,pratique,"Techniquement, une application non fermée a toujours le pouvoir de tourner en tâche de fond, ce qui n'est pas le cas quand elle est compl^tement fermée",,,,,,,,,,
Autre,Déconnectez vous de Google et de Facebook,,pratique,"Utiliser Chrome en étant connecté à son compte Google, s'inscrire sur un site via Facebook laisse la possibilité à ces entreprises de mieux suivre vos agissements en ligne.",,,,,,,,,,
Autre,N'utilisez pas de réseau wifi public pour vous connecter sur un service,,pratique,Pourquoi ? Est-ce un pb aussi en https ?,,,,,,,,,,
Autre,Eviter le pishing etc,,pratique,,,,,,,,,,,
Autre,Evitez d'enregistrer votre carte bancaire sur un service,,pratique,,,,,,,,,,,
Autre,L'adresse mail de récupération peut être utilisée pour identifier qqn ,,pratique,,,,,,,,,,,
Autre,Sélectionner les données que Google collecte,,pratique,,,,,,,,,,,
Autre,agenda du libre ,,outil,pour trouver des install party,,,,,,,,,,
Autre,Désactiver la sauvegarde Google One ?,,pratique,,,,,,,,,,,
Autre,Protéger son téléphone en cas de perte ou de vol ?,,pratique,,,,,,,,,,,
Autre,Ardour,https://ardour.org/,outil,,,,,,,,,,,
